"","GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"1","GO:0004674","protein serine/threonine kinase activity",240,6,6.99,134,"0.718","0.00013","0.00046"
"2","GO:0048029","monosaccharide binding",23,0,0.67,171,"1.000","0.00713","0.00102"
"3","GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors",45,3,1.31,172,"1.000","0.00540","0.00362"
"4","GO:0051539","4 iron, 4 sulfur cluster binding",17,0,0.5,173,"1.000","0.00414","0.00414"
"5","GO:0044212","transcription regulatory region DNA binding",42,0,1.22,174,"1.000","0.08952","0.00525"
"6","GO:0016830","carbon-carbon lyase activity",40,0,1.17,175,"1.000","0.17682","0.00690"
"7","GO:0099106","ion channel regulator activity",15,0,0.44,176,"1.000","0.01795","0.00762"
"8","GO:0016634","oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor",10,1,0.29,50,"0.256","0.00763","0.00763"
"9","GO:0071949","FAD binding",10,0,0.29,177,"1.000","0.00763","0.00763"
"10","GO:0015299","solute:proton antiporter activity",14,0,0.41,178,"1.000","0.00866","0.00866"
"11","GO:0000976","transcription regulatory region sequence-specific DNA binding",38,0,1.11,179,"1.000","0.01998","0.01318"
"12","GO:0003743","translation initiation factor activity",56,0,1.63,180,"1.000","0.01469","0.01469"
"13","GO:0031543","peptidyl-proline dioxygenase activity",15,0,0.44,181,"1.000","1.00000","0.01494"
"14","GO:0031545","peptidyl-proline 4-dioxygenase activity",15,0,0.44,182,"1.000","0.01494","0.01494"
"15","GO:0003690","double-stranded DNA binding",57,1,1.66,152,"0.815","0.43119","0.01692"
"16","GO:0004185","serine-type carboxypeptidase activity",18,1,0.52,83,"0.413","0.01769","0.01769"
"17","GO:0016814","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines",12,1,0.35,56,"0.299","0.02164","0.02164"
"18","GO:0046982","protein heterodimerization activity",49,0,1.43,183,"1.000","0.02258","0.02258"
"19","GO:0008234","cysteine-type peptidase activity",144,3,4.2,149,"0.795","0.01996","0.02531"
"20","GO:0008083","growth factor activity",10,0,0.29,184,"1.000","0.02633","0.02633"
"21","GO:0005102","signaling receptor binding",41,2,1.19,185,"1.000","0.05003","0.02693"
"22","GO:0031418","L-ascorbic acid binding",14,0,0.41,186,"1.000","0.02809","0.02809"
"23","GO:0016779","nucleotidyltransferase activity",674,11,19.64,187,"1.000","0.37334","0.02849"
"24","GO:0003995","acyl-CoA dehydrogenase activity",16,2,0.47,21,"0.078","0.03069","0.03069"
"25","GO:0008519","ammonium transmembrane transporter activity",13,0,0.38,188,"1.000","0.03072","0.03072"
"26","GO:0043565","sequence-specific DNA binding",276,8,8.04,109,"0.557","0.17996","0.03080"
"27","GO:0016831","carboxy-lyase activity",28,0,0.82,189,"1.000","0.03083","0.03083"
"28","GO:1990837","sequence-specific double-stranded DNA binding",42,0,1.22,190,"1.000","0.93179","0.03214"
"29","GO:0003887","DNA-directed DNA polymerase activity",21,2,0.61,30,"0.124","0.03359","0.03359"
"30","GO:0019200","carbohydrate kinase activity",13,0,0.38,191,"1.000","0.03864","0.03864"
"31","GO:0016706","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors",23,0,0.67,192,"1.000","0.63307","0.03938"
"32","GO:0070008","serine-type exopeptidase activity",19,1,0.55,193,"1.000","0.73330","0.04014"
"33","GO:0005088","Ras guanyl-nucleotide exchange factor activity",33,0,0.96,194,"1.000","0.33062","0.04135"
"34","GO:0008158","hedgehog receptor activity",45,0,1.31,195,"1.000","0.04274","0.04274"
"35","GO:0004497","monooxygenase activity",31,1,0.9,116,"0.601","0.04278","0.04278"
"36","GO:0016859","cis-trans isomerase activity",25,1,0.73,196,"1.000","1.00000","0.04311"
"37","GO:0003755","peptidyl-prolyl cis-trans isomerase activity",25,1,0.73,103,"0.523","0.04311","0.04311"
"38","GO:0004930","G-protein coupled receptor activity",197,5,5.74,155,"0.845","0.01110","0.04385"
"39","GO:0015238","drug transmembrane transporter activity",15,1,0.44,75,"0.358","0.04490","0.04490"
"40","GO:0042302","structural constituent of cuticle",187,3,5.45,160,"0.913","0.04802","0.04802"
"41","GO:0004222","metalloendopeptidase activity",186,3,5.42,159,"0.912","0.04944","0.04944"
"42","GO:0005245","voltage-gated calcium channel activity",14,1,0.41,71,"0.339","0.04945","0.04945"
"43","GO:0016772","transferase activity, transferring phosphorus-containing groups",1369,25,39.89,197,"1.000","0.18537","0.04995"
