"","GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"1","GO:0006448","regulation of translational elongation",10,0,0.27,320,"1.000","0.0006","0.0006"
"2","GO:0070507","regulation of microtubule cytoskeleton organization",18,0,0.49,321,"1.000","0.0373","0.0014"
"3","GO:0001714","endodermal cell fate specification",13,0,0.35,322,"1.000","0.0055","0.0055"
"4","GO:0006119","oxidative phosphorylation",30,0,0.81,323,"1.000","0.2396","0.0058"
"5","GO:0043051","regulation of pharyngeal pumping",37,2,1,123,"0.265","0.0058","0.0058"
"6","GO:0002181","cytoplasmic translation",17,0,0.46,324,"1.000","0.0071","0.0071"
"7","GO:0072522","purine-containing compound biosynthetic process",93,4,2.52,325,"1.000","0.2721","0.0073"
"8","GO:0035567","non-canonical Wnt signaling pathway",11,0,0.3,326,"1.000","0.4198","0.0082"
"9","GO:0046662","regulation of oviposition",42,1,1.14,257,"0.685","0.0086","0.0086"
"10","GO:0007165","signal transduction",1039,28,28.12,269,"0.736","0.1989","0.0090"
"11","GO:0007186","G-protein coupled receptor signaling pathway",254,7,6.88,287,"0.829","0.0434","0.0107"
"12","GO:0006952","defense response",60,2,1.62,213,"0.524","0.0611","0.0109"
"13","GO:0006164","purine nucleotide biosynthetic process",91,4,2.46,46,"0.079","0.7663","0.0124"
"14","GO:0051186","cofactor metabolic process",154,4,4.17,327,"1.000","0.0521","0.0125"
"15","GO:0022411","cellular component disassembly",45,1,1.22,328,"1.000","0.4106","0.0137"
"16","GO:0006732","coenzyme metabolic process",109,3,2.95,329,"1.000","0.0931","0.0138"
"17","GO:0040001","establishment of mitotic spindle localization",46,0,1.25,330,"1.000","0.5515","0.0144"
"18","GO:0009152","purine ribonucleotide biosynthetic process",88,3,2.38,254,"0.675","0.1589","0.0145"
"19","GO:0051188","cofactor biosynthetic process",98,3,2.65,331,"1.000","0.4885","0.0150"
"20","GO:0042775","mitochondrial ATP synthesis coupled electron transport",22,0,0.6,332,"1.000","0.0986","0.0153"
"21","GO:0060581","cell fate commitment involved in pattern specification",11,0,0.3,333,"1.000","0.0158","0.0158"
"22","GO:0042773","ATP synthesis coupled electron transport",24,0,0.65,334,"1.000","0.5986","0.0163"
"23","GO:0072329","monocarboxylic acid catabolic process",13,1,0.35,335,"1.000","1.0000","0.0169"
"24","GO:0009062","fatty acid catabolic process",13,1,0.35,336,"1.000","1.0000","0.0169"
"25","GO:0006635","fatty acid beta-oxidation",13,1,0.35,133,"0.300","0.0169","0.0169"
"26","GO:0034440","lipid oxidation",13,1,0.35,337,"1.000","1.0000","0.0169"
"27","GO:0019395","fatty acid oxidation",13,1,0.35,338,"1.000","1.0000","0.0169"
"28","GO:0060069","Wnt signaling pathway, regulating spindle positioning",10,0,0.27,339,"1.000","0.0177","0.0177"
"29","GO:0000271","polysaccharide biosynthetic process",20,0,0.54,340,"1.000","1.0000","0.0188"
"30","GO:0033692","cellular polysaccharide biosynthetic process",20,0,0.54,341,"1.000","0.0188","0.0188"
"31","GO:0009108","coenzyme biosynthetic process",78,3,2.11,342,"1.000","0.1343","0.0206"
"32","GO:0048638","regulation of developmental growth",461,11,12.48,343,"1.000","1.0000","0.0214"
"33","GO:0033013","tetrapyrrole metabolic process",10,0,0.27,344,"1.000","0.0221","0.0221"
"34","GO:0009260","ribonucleotide biosynthetic process",98,3,2.65,345,"1.000","1.0000","0.0228"
"35","GO:0046390","ribose phosphate biosynthetic process",98,3,2.65,346,"1.000","1.0000","0.0228"
"36","GO:0019751","polyol metabolic process",21,0,0.57,347,"1.000","0.0235","0.0235"
"37","GO:0006163","purine nucleotide metabolic process",132,4,3.57,348,"1.000","0.7185","0.0243"
"38","GO:0010639","negative regulation of organelle organization",29,0,0.79,349,"1.000","1.0000","0.0249"
"39","GO:2000145","regulation of cell motility",55,1,1.49,350,"1.000","1.0000","0.0249"
"40","GO:0030334","regulation of cell migration",55,1,1.49,276,"0.780","0.0249","0.0249"
"41","GO:0046165","alcohol biosynthetic process",10,0,0.27,351,"1.000","0.0255","0.0255"
"42","GO:0040002","collagen and cuticulin-based cuticle development",106,2,2.87,279,"0.786","0.0260","0.0260"
"43","GO:0044262","cellular carbohydrate metabolic process",83,2,2.25,352,"1.000","0.2783","0.0264"
"44","GO:0008356","asymmetric cell division",29,0,0.79,353,"1.000","0.0389","0.0266"
"45","GO:0009306","protein secretion",19,1,0.51,183,"0.407","0.0267","0.0267"
"46","GO:0002790","peptide secretion",19,1,0.51,354,"1.000","1.0000","0.0267"
"47","GO:0006733","oxidoreduction coenzyme metabolic process",60,3,1.62,355,"1.000","0.2004","0.0269"
"48","GO:0009150","purine ribonucleotide metabolic process",127,3,3.44,356,"1.000","0.4059","0.0270"
"49","GO:0048477","oogenesis",222,3,6.01,309,"0.943","0.0241","0.0271"
"50","GO:0006120","mitochondrial electron transport, NADH to ubiquinone",15,0,0.41,357,"1.000","0.0278","0.0278"
"51","GO:0032879","regulation of localization",206,2,5.58,358,"1.000","1.0000","0.0279"
"52","GO:0006413","translational initiation",58,0,1.57,359,"1.000","0.0282","0.0282"
"53","GO:0022904","respiratory electron transport chain",25,0,0.68,360,"1.000","0.7498","0.0289"
"54","GO:0019693","ribose phosphate metabolic process",147,3,3.98,361,"1.000","1.0000","0.0291"
